Offense,Offense Conference,Defense,Defense Conference,Game Id,Id,Drive Number,Scoring,Start Period,Start Yardline,Start Yards To Goal,Start Time Minutes,Start Time Seconds,End Period,End Yardline,End Yards To Goal,End Time Minutes,End Time Seconds,Elapsed Minutes,Elapsed Seconds,Plays,Yards,Drive Result,Is Home Offense,Start Offense Score,Start Defense Score,End Offense Score,End Defense Score
Texas Tech,Big 12,Washington State,Pac-12,401636859,4016368592,2,FALSE,1,92,92,14,43,1,86,86,13,23,1,20,3,6,PUNT,FALSE,0,0,0,0
Texas Tech,Big 12,Washington State,Pac-12,401636859,4016368594,4,FALSE,1,75,75,10,3,1,81,81,9,1,1,2,4,-6,PUNT,FALSE,0,7,0,7
Texas Tech,Big 12,Washington State,Pac-12,401636859,4016368596,6,TRUE,1,70,70,7,8,1,19,19,3,31,3,37,11,51,FG,FALSE,0,7,3,7
Texas Tech,Big 12,Washington State,Pac-12,401636859,4016368598,8,FALSE,1,86,86,0,35,2,51,51,13,4,2,31,10,35,DOWNS,FALSE,3,7,3,7
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685910,10,FALSE,2,92,92,12,3,2,57,57,8,18,3,45,8,35,DOWNS,FALSE,3,7,3,7
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685912,12,FALSE,2,75,75,8,9,2,82,82,7,54,0,15,1,-7,FUMBLE,FALSE,3,14,3,14
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685914,14,TRUE,2,75,75,7,53,2,0,0,5,33,2,20,6,75,TD,FALSE,3,21,10,21
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685916,16,FALSE,2,71,71,1,32,2,60,60,0,56,0,36,5,11,INT,FALSE,10,21,10,21
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685918,18,FALSE,2,70,70,0,21,2,49,49,0,0,0,21,4,21,END OF HALF,FALSE,10,27,10,27
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685920,20,FALSE,3,92,92,9,34,3,49,49,5,36,3,58,7,43,DOWNS,FALSE,10,27,10,27
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685922,22,FALSE,3,57,57,3,7,4,17,17,14,3,4,4,8,40,INT,FALSE,10,34,10,34
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685924,24,TRUE,4,61,61,11,14,4,0,0,9,21,1,53,7,61,TD,FALSE,10,34,16,34
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685925,25,FALSE,4,55,55,9,21,4,24,24,8,3,1,18,6,31,DOWNS,FALSE,16,34,16,34
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685927,27,FALSE,4,75,75,5,57,4,84,84,4,21,1,36,3,-9,PUNT,FALSE,16,37,16,37
Texas Tech,Big 12,Washington State,Pac-12,401636859,40163685929,29,FALSE,4,95,95,1,6,4,36,36,0,0,1,6,5,59,END OF GAME,FALSE,16,37,16,37
Texas Tech,Big 12,North Texas,American Athletic,401636868,4016368682,2,TRUE,1,44,56,13,21,1,100,0,10,17,3,4,8,56,TD,TRUE,-2,0,7,0
Texas Tech,Big 12,North Texas,American Athletic,401636868,4016368684,4,TRUE,1,28,72,9,7,1,93,7,5,12,3,55,8,65,FG,TRUE,10,0,17,0
Texas Tech,Big 12,North Texas,American Athletic,401636868,4016368686,6,TRUE,1,25,75,5,5,1,100,0,0,52,4,13,9,75,TD,TRUE,5,0,17,14
Texas Tech,Big 12,North Texas,American Athletic,401636868,4016368688,8,TRUE,2,20,80,11,2,2,100,0,10,22,0,40,2,80,TD,TRUE,4,0,21,7
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686811,11,TRUE,2,75,25,9,43,2,100,0,9,30,0,13,1,25,TD,TRUE,28,7,35,7
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686813,13,TRUE,2,25,75,7,46,2,100,0,6,5,1,41,4,75,TD,TRUE,35,7,42,7
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686815,15,TRUE,2,70,30,5,55,2,100,0,3,8,2,47,6,30,TD,TRUE,42,7,49,7
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686817,17,FALSE,2,44,56,1,42,2,56,44,0,7,1,35,5,12,PUNT,TRUE,36,7,42,7
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686819,19,FALSE,3,25,75,15,0,3,31,69,13,41,1,19,3,6,PUNT,TRUE,49,7,49,7
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686821,21,FALSE,3,10,90,12,37,3,27,73,10,7,2,30,5,17,INT,TRUE,49,7,49,7
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686823,23,FALSE,3,25,75,9,9,3,45,55,7,10,1,59,5,20,PUNT,TRUE,49,14,49,14
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686825,25,TRUE,3,57,43,5,33,3,100,0,4,6,1,27,4,43,TD,TRUE,49,14,56,14
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686827,27,TRUE,3,21,79,2,25,4,100,0,12,50,4,35,9,79,TD,TRUE,56,14,63,14
Texas Tech,Big 12,North Texas,American Athletic,401636868,40163686829,29,FALSE,4,25,75,9,19,4,33,67,6,46,2,33,3,8,PUNT,TRUE,63,21,63,21
Texas Tech,Big 12,Arizona State,Big 12,401636877,4016368771,1,TRUE,1,35,65,15,0,1,100,0,11,22,3,38,10,65,TD,TRUE,0,0,7,0
